iter	Passed	Remaining
145	20413	119402
146	20540	119192
147	20679	119046
148	20815	118885
149	20948	118706
150	21082	118534
151	21235	118470
152	21374	118325
153	21503	118129
154	21651	118035
155	21788	117883
156	21928	117745
157	22071	117619
158	22212	117491
159	22343	117301
160	22477	117134
161	22611	116964
162	22743	116787
163	22871	116590
164	23011	116452
165	23134	116230
166	23280	116124
167	23412	115947
168	23544	115770
169	23677	115603
170	23816	115462
171	23955	115322
172	24093	115174
173	24232	115034
174	24371	114893
175	24508	114746
176	24644	114588
177	24780	114434
178	24907	114240
179	25038	114064
180	25165	113870
181	25298	113705
182	25426	113515
183	25562	113363
184	25696	113203
185	25834	113061
186	25963	112877
187	26110	112776
188	26258	112673
189	26393	112518
190	26542	112423
191	26693	112333
192	26828	112178
193	26966	112037
194	27098	111866
195	27402	112404
196	27530	112219
197	27697	112190
198	27927	112413
199	28105	112422
200	28263	112349
201	28407	112225
202	28548	112083
203	28694	111966
204	28841	111849
205	28968	111657
206	29113	111530
207	29256	111401
208	29389	111228
209	29545	111148
210	29682	110994
211	29817	110830
212	29950	110660
213	30082	110490
214	30225	110356
215	30375	110250
216	30517	110115
217	30676	110039
218	30822	109919
219	30981	109844
220	31116	109682
221	31261	109556
222	31397	109396
223	31538	109257
224	31681	109124
225	31814	108956
226	31956	108822
227	32103	108701
228	32239	108543
229	32377	108392
230	32530	108292
231	32689	108214
232	32836	108091
233	32971	107932
234	33106	107772
235	33246	107629
236	33385	107480
237	33545	107403
238	33689	107269
239	33835	107145
240	33979	107012
241	34104	106822
242	34236	106654
243	34375	106506
244	34538	106434
245	34701	106361
246	34836	106201
247	34974	106051
248	35112	105901
249	35256	105770
250	35405	105653
251	35578	105606
252	35703	105417
253	35846	105280
254	35985	105133
255	36127	104995
256	36276	104876
257	36417	104734
258	36567	104620
259	36722	104518
260	36867	104388
261	37020	104279
262	37174	104173
263	37334	104083
264	37472	103931
265	37633	103846
266	37768	103687
267	37902	103525
268	38051	103402
269	38216	103324
270	38389	103269
271	38536	103140
272	38683	103014
273	38827	102877
274	38979	102762
275	39124	102630
276	39261	102475
277	39386	102290
278	39525	102142
279	39656	101974
280	39807	101856
281	39953	101725
282	40091	101573
283	40245	101463
284	40396	101344
285	40527	101177
286	40652	100993
287	40792	100849
288	40927	100689
289	41080	100575
290	41224	100440
291	41357	100278
292	41501	100140
293	41645	100005
294	41826	99958
295	41957	99791
296	42136	99736
297	42273	99584
298	42417	99445
299	42564	99316
300	42710	99184
301	42920	99201
302	43059	99051
303	43196	98897
304	43338	98754
305	43469	98588
306	43595	98410
307	43739	98272
308	43881	98129
309	44019	97978
310	44144	97798
311	44290	97666
312	44427	97512
313	44570	97373
314	44704	97214
315	44846	97073
316	44981	96915
317	45113	96752
318	45253	96606
319	45385	96443
320	45517	96282
321	45649	96119
322	45790	95974
323	45929	95828
324	46051	95646
325	46173	95463
326	46302	95295
327	46451	95168
328	46608	95059
329	46724	94864
330	46847	94684
331	46965	94496
332	47088	94318
333	47214	94145
334	47337	93968
335	47462	93794
336	47582	93612
337	47706	93436
338	47835	93273
339	47957	93093
340	48082	92922
341	48208	92752
342	48338	92590
343	48466	92424
344	48587	92245
345	48715	92080
346	48839	91907
347	48964	91737
348	49089	91567
349	49215	91400
350	49345	91240
351	49474	91078
352	49600	90910
353	49721	90735
354	49846	90566
355	49973	90401
356	50100	90237
357	50229	90076
358	50356	89913
359	50483	89748
360	50613	89589
361	50741	89427
362	50861	89252
363	50980	89074
364	51110	88917
365	51235	88752
366	51349	88568
367	51476	88405
368	51595	88229
369	51727	88076
370	51850	87908
371	51969	87733
372	52095	87570
373	52219	87404
374	52347	87246
375	52476	87088
376	52603	86928
377	52722	86755
378	52851	86598
379	52971	86426
380	53094	86260
381	53221	86101
382	53334	85919
383	53458	85756
384	53590	85605
385	53723	85455
386	53840	85282
387	53968	85125
388	54094	84966
389	54218	84803
390	54352	84656
391	54485	84508
392	54608	84344
393	54738	84192
394	54859	84024
395	54973	83847
396	55101	83693
397	55231	83541
398	55352	83376
399	55463	83195
400	55590	83039
401	55715	82879
402	55841	82722
403	55957	82551
404	56082	82392
405	56205	82231
406	56323	82063
407	56445	81900
408	56569	81741
409	56697	81588
410	56821	81430
411	56951	81279
412	57076	81123
413	57202	80968
414	57308	80784
415	57435	80630
416	57561	80475
417	57670	80297
418	57798	80145
419	57922	79988
420	58039	79821
421	58171	79675
422	58301	79527
423	58426	79372
424	58555	79222
425	58681	79068
426	58804	78911
427	58918	78741
428	59041	78584
429	59166	78429
430	59289	78272
431	59418	78123
432	59549	77978
433	59676	77827
434	59805	77677
435	59936	77532
436	60037	77347
437	60157	77188
438	60288	77042
439	60413	76889
440	60543	76743
441	60657	76576
442	60777	76417
443	60894	76254
444	61019	76103
445	61141	75946
446	61272	75802
447	61397	75650
448	61519	75495
449	61631	75327
450	61760	75180
451	61883	75027
452	62003	74869
453	62131	74721
454	62260	74575
455	62387	74427
456	62516	74281
457	62630	74117
458	62755	73966
459	62883	73819
460	63002	73662
461	63129	73514
462	63259	73370
463	63391	73228
464	63522	73085
465	63638	72925
466	63765	72777
467	63892	72629
468	64021	72484
469	64145	72334
470	64271	72185
471	64396	72036
472	64515	71881
473	64642	71733
474	64775	71593
475	64904	71449
476	65019	71290
477	65127	71122
478	65253	70975
479	65377	70825
480	65529	70706
481	65657	70561
482	65786	70416
483	65913	70270
484	66030	70114
485	66143	69954
486	66271	69809
487	66404	69670
488	66537	69531
489	66665	69386
490	66791	69240
491	66911	69087
492	67040	68944
493	67169	68800
494	67287	68646
495	67406	68493
496	67535	68350
497	67667	68210
498	67790	68062
499	67922	67922
500	68053	67782
501	68171	67628
502	68301	67486
503	68420	67334
504	68546	67189
505	68664	67036
506	68792	66892
507	68920	66750
508	69042	66601
509	69170	66457
510	69295	66312
511	69407	66153
512	69538	66014
513	69659	65865
514	69783	65718
515	69907	65572
516	70028	65423
517	70149	65273
518	70275	65129
519	70402	64987
520	70535	64849
521	70655	64699
522	70787	64561
523	70915	64418
524	71032	64267
525	71159	64124
526	71287	63982
527	71419	63844
528	71553	63708
529	71688	63572
530	71804	63420
531	71929	63276
532	72049	63128
533	72170	62980
534	72297	62837
535	72424	62695
536	72555	62557
537	72681	62413
538	72798	62263
539	72927	62123
540	73041	61970
541	73171	61831
542	73298	61689
543	73418	61541
544	73534	61390
545	73659	61248
546	73778	61100
547	73911	60963
548	74038	60821
549	74166	60681
550	74274	60524
551	74406	60388
552	74534	60247
553	74659	60104
554	74787	59964
555	74918	59827
556	75036	59678
557	75153	59530
558	75277	59386
559	75408	59249
560	75537	59110
561	75663	58968
562	75792	58829
563	75915	58686
564	76038	58543
565	76168	58404
566	76284	58256
567	76411	58115
568	76536	57974
569	76678	57845
570	76801	57702
571	76936	57567
572	77064	57428
573	77194	57290
574	77315	57145
575	77439	57003
576	77564	56862
577	77692	56723
578	77807	56575
579	77940	56439
580	78076	56306
581	78204	56167
582	78333	56028
583	78460	55889
584	78585	55748
585	78711	55608
586	78833	55465
587	78956	55323
588	79085	55185
589	79213	55046
590	79342	54909
591	79459	54762
592	79584	54622
593	79709	54481
594	79826	54335
595	79953	54196
596	80080	54057
597	80213	53922
598	80355	53793
599	80490	53660
600	80620	53523
601	80749	53386
602	80876	53246
603	81014	53115
604	81149	52982
605	81271	52839
606	81379	52689
607	81501	52547
608	81629	52409
609	81751	52267
610	81873	52125
611	82002	51988
612	82126	51848
613	82258	51712
614	82384	51573
615	82507	51433
616	82638	51297
617	82766	51160
618	82888	51018
619	83022	50884
620	83150	50747
621	83282	50612
622	83411	50475
623	83527	50330
624	83650	50190
625	83785	50057
626	83913	49919
627	84041	49782
628	84175	49648
629	84309	49515
630	84437	49377
631	84582	49250
632	84709	49112
633	84840	48977
634	84962	48836
635	85090	48699
636	85219	48562
637	85341	48422
638	85471	48286
639	85595	48147
640	85720	48008
641	85837	47865
642	85956	47723
643	86086	47588
644	86213	47450
645	86344	47315
646	86459	47171
647	86592	47038
648	86720	46901
649	86846	46763
650	86956	46617
651	87071	46473
652	87198	46336
653	87328	46201
654	87454	46064
655	87582	45927
656	87709	45790
657	87820	45645
658	87935	45502
659	88063	45365
660	88187	45227
661	88315	45091
662	88430	44948
663	88550	44808
664	88675	44671
665	88801	44534
666	88928	44397
667	89054	44260
668	89182	44124
669	89311	43989
670	89436	43851
671	89554	43711
672	89674	43571
673	89806	43437
674	89934	43301
675	90060	43165
676	90176	43023
677	90291	42881
678	90420	42746
679	90547	42610
680	90677	42475
681	90804	42340
682	90917	42197
683	91044	42061
684	91162	41921
685	91295	41788
686	91420	41651
687	91532	41509
688	91665	41375
689	91789	41238
690	91922	41105
691	92053	40971
692	92186	40838
693	92316	40704
694	92439	40567
695	92557	40427
696	92687	40293
697	92810	40155
698	92941	40022
699	93064	39884
700	93191	39749
701	93318	39613
702	93444	39477
703	93574	39344
704	93704	39209
705	93831	39074
706	93961	38940
707	94093	38806
708	94227	38674
709	94358	38540
710	94497	38410
711	94613	38270
712	94738	38134
713	94865	37999
714	94995	37865
715	95125	37731
716	95245	37593
717	95372	37458
718	95502	37324
719	95637	37192
720	95758	37055
721	95887	36920
722	96013	36785
723	96138	36649
724	96268	36515
725	96389	36378
726	96512	36241
727	96643	36108
728	96771	35974
729	96905	35841
730	97031	35706
731	97161	35572
732	97289	35438
733	97399	35297
734	97529	35163
735	97656	35029
736	97791	34896
737	97926	34765
738	98055	34631
739	98194	34500
740	98339	34372
741	98466	34237
742	98587	34100
743	98717	33967
744	98843	33832
745	98963	33695
746	99085	33559
747	99214	33425
748	99329	33286
749	99449	33149
750	99564	33011
751	99690	32876
752	99815	32741
753	99934	32604
754	100070	32473
755	100210	32343
756	100340	32209
757	100462	32073
758	100591	31940
759	100725	31808
760	100862	31676
761	100990	31542
762	101123	31410
763	101257	31278
764	101394	31147
765	101531	31016
766	101664	30883
767	101802	30752
768	101931	30619
769	102051	30482
770	102184	30350
771	102304	30214
772	102439	30082
773	102576	29951
774	102710	29819
775	102837	29685
776	102958	29549
777	103084	29414
778	103214	29281
779	103346	29149
780	103471	29014
781	103602	28881
782	103724	28746
783	103855	28613
784	103981	28479
785	104113	28346
786	104242	28213
787	104375	28080
788	104502	27946
789	104632	27813
790	104767	27681
791	104899	27549
792	105047	27420
793	105188	27290
794	105310	27155
795	105446	27023
796	105574	26890
797	105706	26757
798	105839	26625
799	105965	26491
800	106073	26352
801	106201	26219
802	106331	26086
803	106464	25954
804	106594	25820
805	106706	25683
806	106834	25550
807	106958	25415
808	107077	25280
809	107204	25146
810	107334	25013
811	107464	24880
812	107592	24747
813	107719	24613
814	107846	24480
815	107971	24346
816	108101	24213
817	108220	24078
818	108336	23942
819	108465	23809
820	108594	23676
821	108723	23543
822	108852	23410
823	108982	23277
824	109110	23144
825	109238	23011
826	109372	22879
827	109499	22746
828	109630	22613
829	109753	22479
830	109878	22345
831	109994	22210
832	110123	22077
833	110255	21945
834	110386	21812
835	110515	21680
836	110650	21548
837	110776	21415
838	110897	21280
839	111027	21148
840	111151	21014
841	111285	20882
842	111415	20749
843	111541	20616
844	111659	20482
845	111791	20349
846	111912	20215
847	112027	20080
848	112138	19944
849	112265	19811
850	112393	19678
851	112526	19546
852	112660	19415
853	112792	19283
854	112924	19150
855	113055	19018
856	113186	18886
857	113304	18752
858	113435	18619
859	113563	18487
860	113694	18354
861	113822	18222
862	113957	18090
863	114062	17954
864	114194	17822
865	114312	17688
866	114436	17554
867	114546	17419
868	114666	17285
869	114794	17153
870	114925	17021
871	115057	16889
872	115169	16754
873	115296	16621
874	115424	16489
875	115550	16356
876	115660	16221
877	115785	16088
878	115899	15954
879	116022	15821
880	116137	15687
881	116271	15555
882	116390	15422
883	116519	15289
884	116621	15154
885	116750	15022
886	116871	14888
887	116988	14755
888	117118	14623
889	117220	14487
890	117348	14355
891	117467	14222
892	117594	14090
893	117727	13958
894	117856	13826
895	117983	13694
896	118115	13562
897	118241	13430
898	118373	13298
899	118483	13164
900	118603	13031
901	118745	12901
902	118854	12767
903	118978	12634
904	119082	12500
905	119199	12367
906	119330	12235
907	119456	12103
908	119586	11971
909	119717	11840
910	119845	11708
911	119981	11577
912	120092	11443
913	120217	11311
914	120342	11179
915	120459	11046
916	120593	10915
917	120720	10783
918	120842	10650
919	120947	10517
920	121074	10385
921	121206	10253
922	121331	10121
923	121430	9987
924	121562	9856
925	121692	9724
926	121825	9593
927	121952	9461
928	122085	9330
929	122214	9198
930	122342	9067
931	122466	8935
932	122594	8803
933	122720	8671
934	122834	8539
935	122972	8408
936	123098	8276
937	123223	8144
938	123356	8013
939	123480	7881
940	123614	7750
941	123730	7618
942	123856	7486
943	123982	7354
944	124101	7222
945	124231	7091
946	124355	6959
947	124486	6828
948	124614	6696
949	124739	6565
950	124864	6433
951	124994	6302
952	125123	6170
953	125240	6038
954	125345	5906
955	125466	5774
956	125596	5643
957	125720	5511
958	125847	5380
959	125979	5249
960	126110	5117
961	126241	4986
962	126371	4855
963	126499	4724
964	126628	4592
965	126754	4461
966	126882	4330
967	127008	4198
968	127139	4067
969	127269	3936
970	127402	3805
971	127529	3673
972	127657	3542
973	127786	3411
974	127919	3279
975	128046	3148
976	128176	3017
977	128304	2886
978	128433	2754
979	128563	2623
980	128691	2492
981	128821	2361
982	128944	2229
983	129074	2098
984	129175	1967
985	129281	1835
986	129408	1704
987	129536	1573
988	129668	1442
989	129775	1310
990	129899	1179
991	130025	1048
992	130158	917
993	130280	786
994	130391	655
995	130526	524
996	130656	393
997	130788	262
998	130915	131
999	131044	0
