iter	Passed	Remaining
0	213	213156
1	370	184906
2	521	173249
3	673	167716
4	816	162576
5	976	161758
6	1117	158554
7	1290	159961
8	1436	158211
9	1589	157343
10	1730	155571
11	1884	155148
12	2045	155274
13	2190	154250
14	2344	153974
15	2486	152925
16	2647	153075
17	2803	152930
18	2964	153037
19	3112	152515
20	3272	152549
21	3423	152206
22	3586	152343
23	3733	151839
24	3877	151236
25	4010	150228
26	4148	149515
27	4294	149068
28	4433	148457
29	4578	148041
30	4741	148209
31	4876	147521
32	5016	146999
33	5159	146590
34	5290	145861
35	5425	145274
36	5553	144553
37	5692	144119
38	5835	143795
39	5981	143563
40	6128	143336
41	6258	142747
42	6391	142248
43	6523	141727
44	6675	141663
45	6813	141313
46	6951	140958
47	7081	140450
48	7225	140237
49	7374	140112
50	7498	139539
51	7641	139303
52	7772	138882
53	7914	138657
54	8058	138468
55	8188	138040
56	8325	137740
57	8465	137486
58	8606	137263
59	8745	137011
60	8891	136872
61	9033	136673
62	9171	136409
63	9305	136090
64	9439	135781
65	9575	135507
66	9706	135160
67	9848	134987
68	9982	134695
69	10115	134390
70	10257	134210
71	10388	133892
72	10521	133610
73	10654	133320
74	10781	132972
75	10921	132778
76	11053	132494
77	11182	132185
78	11319	131968
79	11449	131670
80	11596	131566
81	11718	131188
82	11860	131032
83	12007	130938
84	12146	130754
85	12280	130513
86	12418	130321
87	12560	130177
88	12706	130066
89	12843	129860
90	12978	129647
91	13121	129499
92	13254	129269
93	13388	129039
94	13521	128807
95	13653	128566
96	13777	128257
97	13905	127983
98	14051	127880
99	14187	127691
100	14334	127595
101	14478	127468
102	14618	127307
103	14759	127162
104	14900	127011
105	15030	126766
106	15165	126564
107	15299	126362
108	15435	126177
109	15567	125953
110	15701	125749
111	15840	125589
112	15974	125393
113	16118	125268
114	16251	125062
115	16386	124875
116	16511	124613
117	16658	124515
118	16783	124252
119	16904	123965
120	17049	123858
121	17192	123728
122	17326	123541
123	17465	123383
124	17599	123194
125	17733	123010
126	17875	122877
127	18017	122742
128	18144	122513
129	18271	122280
130	18403	122079
131	18541	121925
132	18664	121671
133	18796	121475
134	18933	121312
135	19065	121119
136	19196	120924
137	19332	120757
138	19469	120597
139	19598	120393
140	19737	120243
141	19865	120030
142	20007	119903
143	20129	119659
144	20268	119511
