iter	MultiClass
0	2.247619141
1	2.202261133
2	2.163996289
3	2.130647656
4	2.101364453
5	2.075666406
6	2.05198418
7	2.03023125
8	2.010580664
9	1.991526953
10	1.973810547
11	1.957282422
12	1.94147793
13	1.927169141
14	1.914138477
15	1.901243945
16	1.888905664
17	1.876973828
18	1.865982422
19	1.856054492
20	1.845625586
21	1.836156445
22	1.826928125
23	1.818095312
24	1.808587109
25	1.800525
26	1.792886133
27	1.785047266
28	1.778495508
29	1.770309961
30	1.762413477
31	1.754287109
32	1.746789258
33	1.740012305
34	1.733473047
35	1.726368164
36	1.720590625
37	1.713493359
38	1.707230273
39	1.701092578
40	1.694055078
41	1.689306055
42	1.683166602
43	1.67731543
44	1.671424805
45	1.666211133
46	1.661202344
47	1.656843555
48	1.651686328
49	1.646716406
50	1.641420117
51	1.636465527
52	1.632493066
53	1.628377539
54	1.623582422
55	1.619105566
56	1.614723145
57	1.610375977
58	1.605514355
59	1.601007813
60	1.59617168
61	1.591950586
62	1.587594141
63	1.583011426
64	1.578821191
65	1.575362988
66	1.572031836
67	1.567265137
68	1.562963672
69	1.559304004
70	1.555395215
71	1.55202832
72	1.548532422
73	1.545210156
74	1.541901172
75	1.538205762
76	1.534915625
77	1.531180957
78	1.527645508
79	1.525257617
80	1.521732031
81	1.519412402
82	1.515784961
83	1.512330176
84	1.509026855
85	1.505469043
86	1.501694727
87	1.498410742
88	1.494443066
89	1.491373145
90	1.488553223
91	1.485433496
92	1.48286748
93	1.480319629
94	1.477388965
95	1.474558887
96	1.4726625
97	1.470673633
98	1.467681836
99	1.464423047
100	1.460941992
101	1.457900488
102	1.454878418
103	1.451807813
104	1.448953223
105	1.447235547
106	1.44489668
107	1.442156738
108	1.439794629
109	1.437420703
110	1.434794336
111	1.43195459
112	1.42951709
113	1.427106152
114	1.424176074
115	1.421652051
116	1.419820508
117	1.416484375
118	1.414631055
119	1.413146973
120	1.409820801
121	1.407226953
122	1.404745313
123	1.40207041
124	1.400034277
125	1.398009473
126	1.395419434
127	1.393017578
128	1.39069834
129	1.388927344
130	1.386808203
131	1.384511719
132	1.38264834
133	1.380405371
134	1.378086426
135	1.376200098
136	1.374427539
137	1.372050293
138	1.369166992
139	1.367809473
140	1.36547207
141	1.364367676
142	1.361548926
143	1.360423828
144	1.357767187
145	1.355587598
146	1.353504004
147	1.350637695
148	1.348216895
149	1.346297949
150	1.344461426
151	1.341638379
152	1.339499805
153	1.337561035
154	1.334691602
155	1.333058691
156	1.330564551
157	1.327954102
158	1.325910352
159	1.324212988
160	1.321937305
161	1.320269336
162	1.318439355
163	1.316894629
164	1.314836816
165	1.313975195
166	1.311923047
167	1.310713281
168	1.309037012
169	1.307718066
170	1.305219336
171	1.303252051
172	1.300652539
173	1.299023535
174	1.297010156
175	1.29487373
176	1.293483984
177	1.290992188
178	1.289738184
179	1.287808105
180	1.286375684
181	1.284577441
182	1.283052051
183	1.281984082
184	1.279792188
185	1.27800166
186	1.276508496
187	1.274263184
188	1.272516797
189	1.271281738
190	1.269239258
191	1.266700098
192	1.264767676
193	1.263320605
194	1.261496191
195	1.259657715
196	1.257683789
197	1.256762109
198	1.254849219
199	1.252758008
200	1.250724805
201	1.248662305
202	1.247080957
203	1.244731836
204	1.24296875
205	1.241747852
206	1.239776465
207	1.238192969
208	1.236905566
209	1.234921289
210	1.234138965
211	1.233032715
212	1.231369043
213	1.230265039
214	1.228431055
215	1.226577539
216	1.224722949
